episode_id,name,air_date,episode,character_id,url,created
14,Auto Erotic Assimilation,"August 9, 2015",S02E03,249,https://rickandmortyapi.com/api/episode/14,2017-11-10T12:56:35.158Z
14,Auto Erotic Assimilation,"August 9, 2015",S02E03,301,https://rickandmortyapi.com/api/episode/14,2017-11-10T12:56:35.158Z
14,Auto Erotic Assimilation,"August 9, 2015",S02E03,336,https://rickandmortyapi.com/api/episode/14,2017-11-10T12:56:35.158Z
14,Auto Erotic Assimilation,"August 9, 2015",S02E03,355,https://rickandmortyapi.com/api/episode/14,2017-11-10T12:56:35.158Z
14,Auto Erotic Assimilation,"August 9, 2015",S02E03,372,https://rickandmortyapi.com/api/episode/14,2017-11-10T12:56:35.158Z
15,Total Rickall,"August 16, 2015",S02E04,1,https://rickandmortyapi.com/api/episode/15,2017-11-10T12:56:35.261Z
15,Total Rickall,"August 16, 2015",S02E04,2,https://rickandmortyapi.com/api/episode/15,2017-11-10T12:56:35.261Z
15,Total Rickall,"August 16, 2015",S02E04,3,https://rickandmortyapi.com/api/episode/15,2017-11-10T12:56:35.261Z
15,Total Rickall,"August 16, 2015",S02E04,4,https://rickandmortyapi.com/api/episode/15,2017-11-10T12:56:35.261Z
15,Total Rickall,"August 16, 2015",S02E04,5,https://rickandmortyapi.com/api/episode/15,2017-11-10T12:56:35.261Z
15,Total Rickall,"August 16, 2015",S02E04,16,https://rickandmortyapi.com/api/episode/15,2017-11-10T12:56:35.261Z
15,Total Rickall,"August 16, 2015",S02E04,31,https://rickandmortyapi.com/api/episode/15,2017-11-10T12:56:35.261Z
15,Total Rickall,"August 16, 2015",S02E04,32,https://rickandmortyapi.com/api/episode/15,2017-11-10T12:56:35.261Z
15,Total Rickall,"August 16, 2015",S02E04,76,https://rickandmortyapi.com/api/episode/15,2017-11-10T12:56:35.261Z
15,Total Rickall,"August 16, 2015",S02E04,109,https://rickandmortyapi.com/api/episode/15,2017-11-10T12:56:35.261Z
15,Total Rickall,"August 16, 2015",S02E04,128,https://rickandmortyapi.com/api/episode/15,2017-11-10T12:56:35.261Z
15,Total Rickall,"August 16, 2015",S02E04,141,https://rickandmortyapi.com/api/episode/15,2017-11-10T12:56:35.261Z
15,Total Rickall,"August 16, 2015",S02E04,154,https://rickandmortyapi.com/api/episode/15,2017-11-10T12:56:35.261Z
15,Total Rickall,"August 16, 2015",S02E04,169,https://rickandmortyapi.com/api/episode/15,2017-11-10T12:56:35.261Z
15,Total Rickall,"August 16, 2015",S02E04,236,https://rickandmortyapi.com/api/episode/15,2017-11-10T12:56:35.261Z
15,Total Rickall,"August 16, 2015",S02E04,244,https://rickandmortyapi.com/api/episode/15,2017-11-10T12:56:35.261Z
15,Total Rickall,"August 16, 2015",S02E04,248,https://rickandmortyapi.com/api/episode/15,2017-11-10T12:56:35.261Z
15,Total Rickall,"August 16, 2015",S02E04,259,https://rickandmortyapi.com/api/episode/15,2017-11-10T12:56:35.261Z
15,Total Rickall,"August 16, 2015",S02E04,262,https://rickandmortyapi.com/api/episode/15,2017-11-10T12:56:35.261Z
15,Total Rickall,"August 16, 2015",S02E04,280,https://rickandmortyapi.com/api/episode/15,2017-11-10T12:56:35.261Z
15,Total Rickall,"August 16, 2015",S02E04,324,https://rickandmortyapi.com/api/episode/15,2017-11-10T12:56:35.261Z
15,Total Rickall,"August 16, 2015",S02E04,329,https://rickandmortyapi.com/api/episode/15,2017-11-10T12:56:35.261Z
15,Total Rickall,"August 16, 2015",S02E04,352,https://rickandmortyapi.com/api/episode/15,2017-11-10T12:56:35.261Z
15,Total Rickall,"August 16, 2015",S02E04,391,https://rickandmortyapi.com/api/episode/15,2017-11-10T12:56:35.261Z
16,Get Schwifty,"August 23, 2015",S02E05,1,https://rickandmortyapi.com/api/episode/16,2017-11-10T12:56:35.364Z
16,Get Schwifty,"August 23, 2015",S02E05,2,https://rickandmortyapi.com/api/episode/16,2017-11-10T12:56:35.364Z
16,Get Schwifty,"August 23, 2015",S02E05,3,https://rickandmortyapi.com/api/episode/16,2017-11-10T12:56:35.364Z
